Merilec;Meril;Kandidat;word;subject;gender;stressed;vowelNoIpa;vowel;f0;f1;f2;f3;f4;f1Bark;f2Bark
A;RM-Mikanovič;Nataša Pirc Musar;lahko;f1;f;TRUE;o;o;162.486198941936;541.757522979665;797.672198663934;2517.33095818385;3530.13864803328;5.27572619755159;7.22494333827682
A;RM-Mikanovič;Nataša Pirc Musar;predsednika;f1;f;TRUE;e;e;163.530376069807;461.148932286897;1966.25661800224;2636.7772569025;3741.72546905626;4.5764198115784;12.8963613047949
A;RM-Mikanovič;Nataša Pirc Musar;putina;f1;f;TRUE;u;u;146.674384462873;379.880326161539;920.518146032674;2292.26329526904;3550.44841939614;3.82261215307459;8.03758758111849
A;RM-Mikanovič;Nataša Pirc Musar;ustavimo;f1;f;TRUE;a;a;120.82020062544;818.213028935709;1359.44389199433;2464.42918497519;3751.12353108168;7.36582766954693;10.4497580348529
A;RM-Mikanovič;Nataša Pirc Musar;ena;f1;f;TRUE;E;ɛ;187.378252655561;719.132772353646;2063.5770226115;2661.15445983312;3826.13797519343;6.66633973566141;13.220078516033
A;RM-Mikanovič;Nataša Pirc Musar;možnosti;f1;f;TRUE;o;o;214.120525110077;525.25968363993;764.01521420734;2246.9243497645;3214.69905179484;5.13629403401483;6.98950568633633
A;RM-Mikanovič;Nataša Pirc Musar;ta;f1;f;TRUE;a;a;204.847343480502;901.46601736923;1388.78547516435;2724.9847559852;3613.92833796683;7.91612648864825;10.5884603687786
A;RM-Mikanovič;Nataša Pirc Musar;se;f1;f;TRUE;E;ɛ;151.659748937464;598.632661304698;1851.60666147043;2627.97039363283;3746.60220120113;5.74262439517014;12.4937925900968
A;RM-Mikanovič;Nataša Pirc Musar;proti;f1;f;TRUE;o;o;196.865520154968;525.673201881634;835.554596847039;2431.47483302199;3414.73315908612;5.13981151495623;7.48315730579338
A;RM-Mikanovič;Nataša Pirc Musar;njemu;f1;f;TRUE;E;ɛ;190.439134973945;765.601919783296;1837.46361797064;2644.59570877174;3725.36244273308;7.00073562225187;12.4424480742013
A;RM-Mikanovič;Nataša Pirc Musar;obrnejo;f1;f;TRUE;@;ə;174.061876293274;561.084354223968;1240.55752622337;2339.70809882893;3591.82314623106;5.43674661501954;9.8617355040621
A;RM-Mikanovič;Nataša Pirc Musar;sicer;f1;f;TRUE;E;ɛ;186.946431963805;628.188841873122;1654.40117585633;2629.88346111365;3937.85301657681;5.97715379733641;11.7416027819462
A;RM-Mikanovič;Nataša Pirc Musar;njegovi;f1;f;TRUE;O;ɔ;171.408862678682;706.029140911221;1089.17468620759;2465.8790990828;3746.20410358219;6.5699378729072;9.04661542623651
A;RM-Mikanovič;Nataša Pirc Musar;politični;f1;f;TRUE;i;i;188.942748879981;358.638648944257;2071.15748502595;2378.70440007566;3720.17927471545;3.6168739350884;13.2446372796915
A;RM-Mikanovič;Nataša Pirc Musar;somišljeniki;f1;f;TRUE;i;i;204.834953155776;332.752212477125;2101.22275770363;2923.51080260093;3671.8966763199;3.36099474769375;13.341138200232
A;RM-Mikanovič;Nataša Pirc Musar;indija;f1;f;TRUE;i;i;186.636903570144;410.036803900041;2300.87293850215;2800.75945203964;3729.9924485727;4.10836118260708;13.9474097635795
A;RM-Mikanovič;Nataša Pirc Musar;kitajska;f1;f;TRUE;a;a;169.672308653147;797.416794901522;1552.49074722952;2421.3810254423;3840.18017987959;7.22317837725483;11.3197897726999
A;RM-Mikanovič;Nataša Pirc Musar;turčija;f1;f;TRUE;u;u;192.376476313855;386.423631543691;979.795885363454;2554.43029989059;3614.13334921463;3.88523747988789;8.4054256931163
A;RM-Mikanovič;Nataša Pirc Musar;opozarjajo;f1;f;TRUE;a;a;180.153778647236;832.495373624653;1433.85044782614;2557.87170915623;3876.31207955971;7.46256506481036;10.7968192270646
A;RM-Mikanovič;Nataša Pirc Musar;šel;f1;f;TRUE;@;ə;166.491008129053;535.523735928915;1357.13299505889;2258.64331410983;3496.88215091192;5.22325778454675;10.4387298193128
A;RM-Mikanovič;Nataša Pirc Musar;predaleč;f1;f;TRUE;a;a;135.521987738536;805.383685864676;1414.54389717728;2563.07772198745;3853.42233540586;7.2780798438212;10.7082363480426
A;RM-Mikanovič;Nataša Pirc Musar;predvsem;f1;f;TRUE;@;ə;231.289472905162;659.110915346587;1426.85994406208;2517.80750634836;3825.4478980126;6.21685578869562;10.7648618283943
A;RM-Mikanovič;Nataša Pirc Musar;osebno;f1;f;TRUE;e;e;236.028150344902;464.869721176128;2056.2188587833;2613.26474916583;3782.22858035867;4.60972240070985;13.1961512737084
A;RM-Mikanovič;Nataša Pirc Musar;veliko;f1;f;TRUE;i;i;248.108776645562;281.839146947815;2013.742472608;2674.05435976123;3565.36885000174;2.84049495275265;13.0562945479674
A;RM-Mikanovič;Nataša Pirc Musar;upanja;f1;f;TRUE;u;u;192.475433713251;461.61739072649;2082.43868100533;3122.59438903172;4040.77397365743;4.58061833829347;13.2810149450352
A;RM-Mikanovič;Nataša Pirc Musar;polagam;f1;f;TRUE;a;a;139.841280032411;832.121412969164;1304.16576850565;2590.68002508447;3801.72016925977;7.46004476599015;10.1816754274534
A;RM-Mikanovič;Nataša Pirc Musar;samo;f1;f;TRUE;o;o;196.380703928098;798.844160858925;1950.00532158724;3316.4176015678;3848.88409796088;7.23303796223122;12.8407344036379
A;RM-Mikanovič;Nataša Pirc Musar;ruske;f1;f;TRUE;u;u;170.364207749588;397.159621326974;1029.42162157073;2502.60876145613;3339.86819866358;3.98723733574815;8.70215162263062
A;RM-Mikanovič;Nataša Pirc Musar;matere;f1;f;TRUE;a;a;144.670313077687;858.635955630194;1397.49313831535;2605.2274920837;3711.95055689421;7.63708164261626;10.629156398763
A;RM-Mikanovič;Nataša Pirc Musar;ampak;f1;f;TRUE;a;a;169.314244464712;845.942591515766;1332.38940935606;2620.42725617468;3669.72658354707;7.55274586483472;10.3196765186177
A;RM-Mikanovič;Nataša Pirc Musar;ruski;f1;f;TRUE;u;u;217.203684059706;392.838757344417;884.831078236416;2371.87557332128;3484.62401059703;3.94629785574044;7.80874509773156
A;RM-Mikanovič;Nataša Pirc Musar;narod;f1;f;TRUE;a;a;150.814623299286;903.785757531662;1410.27480161198;2653.65718167176;3871.11911498803;7.93100169878227;10.6885117406845
A;RM-Mikanovič;Nataša Pirc Musar;mora;f1;f;TRUE;o;o;239.663301866096;677.143250846231;1939.78366752565;2871.11297696348;3906.01844083579;6.35404414487607;12.8055089820558
A;RM-Mikanovič;Nataša Pirc Musar;upreti;f1;f;TRUE;e;e;196.904376268406;413.810680299702;2193.69757659357;2710.98548216602;3827.86258879071;4.14360958096048;13.629199350451
A;RM-Mikanovič;Nataša Pirc Musar;temu;f1;f;TRUE;e;e;206.722269243971;413.392894017657;2074.19387762222;2725.74627111837;3675.17191826114;4.1397129314532;13.2544485282468
A;RM-Mikanovič;Nataša Pirc Musar;predsednik;f1;f;TRUE;e;e;203.175977271133;409.344702183477;2002.08611553854;2639.50815021388;3724.54281072183;4.1018846959775;13.0173907412263
A;RM-Mikanovič;Nataša Pirc Musar;putin;f1;f;TRUE;u;u;212.534531820778;451.393146175528;586.441586383079;2413.1318968843;3567.29017766277;4.48861352146557;5.6443018237706
A;RM-Mikanovič;Nataša Pirc Musar;njihovem;f1;f;TRUE;i;i;182.341724993235;362.938393895418;2120.97764773185;2701.17975103153;3518.186692862;3.6588232446918;13.4037716704464
A;RM-Mikanovič;Nataša Pirc Musar;imenu;f1;f;TRUE;e;e;159.683183448892;378.29690345642;2111.80072684697;2678.65095161844;3663.18780296632;3.80740470112017;13.3747515546296
A;RM-Mikanovič;Nataša Pirc Musar;počne;f1;f;TRUE;E;ɛ;119.080564454442;690.063164339973;1922.38599366385;2583.14542684693;3910.74852016744;6.45118961272474;12.745127350614
A;RM-Mikanovič;Nataša Pirc Musar;dva;f1;f;TRUE;a;a;216.426954159397;791.11625529548;1432.65782794816;2460.93308725464;3710.19675017397;7.17953490738391;10.7913764296766
A;RM-Mikanovič;Nataša Pirc Musar;dni;f1;f;TRUE;i;i;226.039955291866;349.490574611141;1799.5418859518;2584.89145752161;3636.82435645526;3.52710350513222;12.302871510927
A;RM-Mikanovič;Nataša Pirc Musar;nazaj;f1;f;TRUE;a;a;190.608720277933;794.179273541886;1444.40407770995;2616.53540108986;3763.85971226213;7.20077719674959;10.8448169839617
A;RM-Mikanovič;Nataša Pirc Musar;ukrajinski;f1;f;TRUE;u;u;190.281198138003;452.425460090833;769.638606524316;2359.76950595448;3599.00938139705;4.49793839051032;7.02924648471706
A;RM-Mikanovič;Nataša Pirc Musar;narod;f1;f;TRUE;a;a;171.340682638252;884.942660349112;1393.99855401599;2345.52706462723;3758.35105761547;7.80946956282355;10.6128495365387
A;RM-Mikanovič;Nataša Pirc Musar;dobil;f1;f;TRUE;i;i;171.838734137072;378.357398578995;1377.6705748584;2099.33441573442;3614.26863639661;3.80798608461955;10.5362053919209
A;RM-Mikanovič;Nataša Pirc Musar;nagrado;f1;f;TRUE;a;a;158.289751444443;727.552517385412;1583.842372792;2397.19127653513;3874.93193501934;6.72778672785863;11.4521395953058
A;RM-Mikanovič;Nataša Pirc Musar;bruslju;f1;f;TRUE;u;u;153.350834085317;468.570576735824;995.091251277736;2546.12874047484;3878.67837123949;4.6427453517831;8.49794336222977
A;RM-Mikanovič;Nataša Pirc Musar;res;f1;f;TRUE;e;e;219.661852429695;443.454723145235;2091.881164883;2664.83235476721;3869.29532548103;4.41663827574226;13.3113077156799
A;RM-Mikanovič;Nataša Pirc Musar;želela;f1;f;TRUE;e;e;182.874462626276;461.304065392788;1980.01970489424;2585.07554739635;3998.49619497494;4.57781036134524;12.9431123862842
A;RM-Mikanovič;Nataša Pirc Musar;leto;f1;f;TRUE;e;e;171.388056683356;457.406476351017;2013.71227236462;2557.33034437295;3859.36929360808;4.54281987987448;13.0561940477057
A;RM-Mikanovič;Nataša Pirc Musar;dobil;f1;f;TRUE;i;i;170.780285968622;354.468815713308;1852.66247983415;2252.7638911865;3572.92198310537;3.57604320298216;12.4976103240364
A;RM-Mikanovič;Nataša Pirc Musar;ruski;f1;f;TRUE;u;u;202.682775552925;396.689248185598;1166.50637607514;2446.47226710581;3627.88578814531;3.98278790873421;9.47286971486505
A;RM-Mikanovič;Nataša Pirc Musar;narod;f1;f;TRUE;a;a;137.790060117274;874.15006057311;1484.49940439555;2491.48834401191;3822.92345296047;7.73913276399555;11.0244885799824
A;RM-Mikanovič;Nataša Pirc Musar;upor;f1;f;TRUE;O;ɔ;188.776227985809;706.142147567794;1113.6813290191;2487.07791610504;3861.55204767805;6.5707733003145;9.1840182194914
A;RM-Mikanovič;Nataša Pirc Musar;proti;f1;f;TRUE;o;o;174.785408007033;486.414626054314;1094.85080328797;2668.35380701783;3152.85614772049;4.80056661190295;9.07863620722739
A;RM-Mikanovič;Nataša Pirc Musar;temu;f1;f;TRUE;e;e;173.123652771711;460.877071319964;2116.67421571065;2657.21813474658;3849.30624877616;4.57398253115395;13.3901792246502
A;RM-Mikanovič;Nataša Pirc Musar;počne;f1;f;TRUE;E;ɛ;155.229148995851;616.950163809809;1880.2752733111;2574.42480580141;3579.6023557339;5.88860837048059;12.596710063679
A;RM-Mikanovič;Nataša Pirc Musar;gospod;f1;f;TRUE;o;o;142.987824233288;468.186870275752;978.252683084581;2506.35172719847;3298.61614950448;4.63932619385569;8.39603777220567
A;RM-Mikanovič;Nataša Pirc Musar;putin;f1;f;TRUE;u;u;NA;371.672196508178;1599.25707946325;2875.87842374681;4372.14693480661;3.74355594980579;11.5163572434267
B;G-Polanec;Nataša Pirc Musar;Vprašajmo;f1;f;TRUE;a;a;221.197445809282;759.905360347617;1397.25083312694;1397.25083312694;3419.56391824684;6.96035720430943;10.6280268195936
B;G-Polanec;Nataša Pirc Musar;Želimo;f1;f;TRUE;i;i;135.347072907162;306.835287688549;2086.98796528193;2569.24337290373;3718.06352356691;3.09895976942293;13.2956273132531
B;G-Polanec;Nataša Pirc Musar;Želim;f1;f;TRUE;i;i;235.721446552511;301.598578636647;1940.47234640967;2534.78417458049;3635.62685119542;3.04528430094915;12.807888077871
